PO Number,Order Date,Supplier,Supplier Country,Item No,Item Description,Qty Ordered,Unit Cost,Freight,Duty,Landed Cost,Currency,Ship To,Promised Date,Received Date,Qty Received
PO-202407-0001,2024-07-01,Thermaline Systems,Mexico,HRD450871,40 GAL NATURAL GAS WATER HEATER 40 MBH,8,496.03,11.90,0.00,507.93,USD,100933,2024-08-09,2024-08-08,8
PO-202407-0002,2024-07-02,Anhui Precision Fittings,China,HRD290145,2 IN PVC DWV SANITARY TEE HUB,2898,3.90,0.30,0.49,4.69,USD,100571,2024-08-24,2024-08-30,2898
PO-202407-0003,2024-07-04,Gulf States Polymer,USA,HRD512066,1/2 IN x 300FT PEX-B TUBING RED,183,62.19,0.00,0.00,62.19,USD,100349,2024-08-16,2024-08-20,183
PO-202407-0004,2024-07-05,Thermaline Systems,Mexico,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,2572,6.95,0.17,0.00,7.12,USD,100933,2024-08-13,2024-08-10,2572
PO-202407-0005,2024-07-06,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,3864,1.50,0.13,0.09,1.72,USD,100047,2024-09-17,2024-09-16,3864
PO-202407-0006,2024-07-06,Kotara Steel Products,India,HRD248813,1-1/4 IN GALVANIZED STEEL NIPPLE 6 IN,2953,1.46,0.12,0.08,1.66,USD,100959,2024-09-17,2024-09-17,2953
PO-202407-0007,2024-07-07,Cascade Copper Mills,USA,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,529,19.08,0.00,0.00,19.08,USD,100349,2024-07-24,2024-07-24,529
PO-202407-0008,2024-07-09,Cascade Copper Mills,USA,HRD107744,3/4 IN x 100FT SOFT COPPER COIL TYPE L,8,275.20,0.00,0.00,275.20,USD,100649,2024-07-26,2024-07-26,8
PO-202407-0009,2024-07-09,Pacific Rim Tooling,Vietnam,HRD335590,CHROME LAVATORY FAUCET 4 IN CENTERSET 2-HANDLE,80,83.42,6.76,5.17,95.35,USD,100933,2024-08-16,2024-08-16,80
PO-202407-0010,2024-07-09,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,466,10.61,0.54,0.29,11.44,USD,100571,2024-08-06,2024-08-04,466
PO-202407-0011,2024-07-10,Gulf States Polymer,USA,HRD304148,3/4 IN CPVC 90 DEG ELBOW SOCKET,4490,6.79,0.00,0.00,6.79,USD,100117,2024-08-22,2024-08-20,4490
PO-202407-0012,2024-07-12,Pacific Rim Tooling,Vietnam,HRD118902,1/2 IN COPPER TYPE L HARD TUBE 10FT,442,16.86,1.37,1.05,19.28,USD,100959,2024-08-19,2024-08-17,442
PO-202407-0013,2024-07-13,Nordflow Valve Works,Germany,HRD772310,3/4 IN BRASS BALL VALVE FULL PORT THREADED,487,10.71,0.55,0.29,11.55,USD,100812,2024-08-10,2024-08-09,487
PO-202407-0014,2024-07-14,Thermaline Systems,Mexico,HRD983377,3 TON 14 SEER AC CONDENSING UNIT R-410A,16,1441.79,34.60,0.00,1476.39,USD,100933,2024-08-22,2024-08-21,16
